,Unnamed: 0_old,teamid_old,playerid,jerseynumber_old,position_old,teamname_old,leagueid_old,artificialkey_old,leaguename_old,firstname_old,surname_old,commonname_old,fullname_old,Unnamed: 0_new,teamid_new,jerseynumber_new,position_new,teamname_new,leagueid_new,artificialkey_new,leaguename_new,firstname_new,surname_new,commonname_new,fullname_new
0,0,1,270390.0,21.0,29.0,Arsenal,13,68,Premier League,Marcus,Alencar,Marquinhos,Marcus Alencar,,,,,,,,,,,,
18,18,1,259096.0,61.0,29.0,Arsenal,13,68,Premier League,Tim,Akinola,,Tim Akinola,,,,,,,,,,,,
80,6585,3,242464.0,32.0,29.0,Blackburn R.,14,88,EFL Championship,Connor,McBride,,Connor McBride,,,,,,,,,,,,
93,6598,4,11381.0,1.0,28.0,Bolton,60,325,EFL League One,Matt,Gilks,,Matt Gilks,,,,,,,,,,,,
94,6599,4,140422.0,27.0,28.0,Bolton,60,325,EFL League One,Alex,Baptiste,,Alex Baptiste,,,,,,,,,,,,
96,6601,4,184467.0,7.0,28.0,Bolton,60,325,EFL League One,Nathan,Delfouneso,,Nathan Delfouneso,,,,,,,,,,,,
107,6612,4,223918.0,28.0,29.0,Bolton,60,325,EFL League One,Brandon,Comley,,Brandon Comley,,,,,,,,,,,,
110,6615,4,229779.0,26.0,29.0,Bolton,60,325,EFL League One,Liam,Edwards,,Liam Edwards,,,,,,,,,,,,
120,6625,4,262852.0,46.0,29.0,Bolton,60,325,EFL League One,Ryan,Colvin,,Ryan Colvin,,,,,,,,,,,,
148,6653,7,118794.0,31.0,28.0,Everton,13,71,Premier League,Andy,Lonergan,,Andy Lonergan,,,,,,,,,,,,
151,6656,7,184484.0,10.0,18.0,Everton,13,71,Premier League,Gylfi,Sigurðsson,,Gylfi Sigurðsson,,,,,,,,,,,,
210,6715,8,221743.0,18.0,28.0,Leeds United,14,72,EFL Championship,Hélder Wander,Sousa Azevedo Costa,Hélder Costa,Hélder Wander Sousa Azevedo Costa,,,,,,,,,,,,
214,6719,9,189509.0,6.0,15.0,Liverpool,13,73,Premier League,Thiago,Alcântara,Thiago,Thiago Alcântara,,,,,,,,,,,,
232,6737,9,259430.0,53.0,29.0,Liverpool,13,73,Premier League,Marcelo,Pitaluga,Marcelo Pitaluga,Marcelo Pitaluga,,,,,,,,,,,,
255,6760,10,243391.0,56.0,28.0,Manchester City,13,74,Premier League,Iker,Pozo La Rosa,Iker Pozo,Iker Pozo La Rosa,,,,,,,,,,,,
293,6798,12,172425.0,22.0,28.0,Middlesbrough,14,89,EFL Championship,Souleymane,Bamba,,Souleymane Bamba,,,,,,,,,,,,
297,6802,12,203537.0,21.0,12.0,Middlesbrough,14,89,EFL Championship,Sammy,Ameobi,,Sammy Ameobi,,,,,,,,,,,,
318,6823,12,264275.0,33.0,29.0,Middlesbrough,14,89,EFL Championship,Jack,Robinson,,Jack Robinson,,,,,,,,,,,,
330,6835,13,198039.0,29.0,29.0,Newcastle Utd,13,76,Premier League,Mark,Gillespie,,Mark Gillespie,,,,,,,,,,,,
347,6852,13,251453.0,35.0,29.0,Newcastle Utd,13,76,Premier League,Dan,Langley,,Dan Langley,,,,,,,,,,,,
374,6879,14,251427.0,45.0,29.0,Nott'm Forest,13,90,Premier League,Jayden,Richardson,,Jayden Richardson,,,,,,,,,,,,
391,6896,14,278538.0,28.0,29.0,Nott'm Forest,13,90,Premier League,Danilo,Santos de Oliveira,Danilo,Danilo Santos de Oliveira,,,,,,,,,,,,
392,6897,14,4660.0,9.0,29.0,Nott'm Forest,13,90,Premier League,Andrey,Nascimento dos Santos,Andrey Santos,Andrey Nascimento dos Santos,,,,,,,,,,,,
395,6900,15,164766.0,3.0,29.0,QPR,14,91,EFL Championship,Lee,Wallace,,Lee Wallace,,,,,,,,,,,,
401,6906,15,213344.0,33.0,28.0,QPR,14,91,EFL Championship,Dillon,Barnes,,Dillon Barnes,,,,,,,,,,,,
406,6911,15,224189.0,6.0,6.0,QPR,14,91,EFL Championship,Yoann,Barbet,,Yoann Barbet,,,,,,,,,,,,
412,6917,15,234393.0,27.0,29.0,QPR,14,91,EFL Championship,Marco,Ramkilde,,Marco Ramkilde,,,,,,,,,,,,
415,6920,15,238487.0,40.0,28.0,QPR,14,91,EFL Championship,Odysseus,Alfa,,Odysseus Alfa,,,,,,,,,,,,
418,6923,15,242961.0,34.0,28.0,QPR,14,91,EFL Championship,Stephen,Duke-McKenna,,Stephen Duke-McKenna,,,,,,,,,,,,
422,6927,15,255071.0,39.0,29.0,QPR,14,91,EFL Championship,Joe,Gubbins,,Joe Gubbins,,,,,,,,,,,,
426,6931,17,164859.0,32.0,28.0,Southampton,14,77,EFL Championship,Theo,Walcott,,Theo Walcott,,,,,,,,,,,,
435,6940,17,215756.0,55.0,29.0,Southampton,14,77,EFL Championship,Sam,McQueen,,Sam McQueen,,,,,,,,,,,,
454,6959,17,263963.0,54.0,29.0,Southampton,14,77,EFL Championship,Oludare,Olufunwa,,Oludare Olufunwa,,,,,,,,,,,,
492,6997,19,116314.0,25.0,29.0,West Ham,13,79,Premier League,David,Martin,,David Martin,,,,,,,,,,,,
527,7032,19,4452.0,32.0,29.0,West Ham,13,79,Premier League,Luiz Gustavo,Oliveira da Silva,Luizão,Luiz Gustavo Oliveira da Silva,,,,,,,,,,,,
557,7062,22,188802.0,29.0,29.0,Borussia Dortmund,19,153,Bundesliga,Marcel,Schmelzer,,Marcel Schmelzer,,,,,,,,,,,,
558,7063,22,189117.0,38.0,28.0,Borussia Dortmund,19,153,Bundesliga,Roman,Bürki,,Roman Bürki,,,,,,,,,,,,
588,7093,23,256610.0,66.0,29.0,M'gladbach,19,154,Bundesliga,Dillon,Hoogewerf,,Dillon Hoogewerf,,,,,,,,,,,,
607,7112,23,241038.0,37.0,28.0,M'gladbach,19,154,Bundesliga,Keanan,Bennetts,,Keanan Bennetts,,,,,,,,,,,,
618,7123,23,257917.0,45.0,29.0,M'gladbach,19,154,Bundesliga,Sander,Christiansen,,Sander Christiansen,,,,,,,,,,,,
619,7124,23,263281.0,48.0,29.0,M'gladbach,19,154,Bundesliga,Jordi,Bongard,,Jordi Bongard,,,,,,,,,,,,
650,7155,27,193425.0,17.0,9.0,Rostock,20,170,Bundesliga 2,Hanno,Behrens,,Hanno Behrens,,,,,,,,,,,,
660,7165,27,226711.0,21.0,28.0,Rostock,20,170,Bundesliga 2,Nik,Omladič,,Nik Omladič,,,,,,,,,,,,
663,7168,27,234279.0,27.0,16.0,Rostock,20,170,Bundesliga 2,Calogero,Rizzuto,,Calogero Rizzuto,,,,,,,,,,,,
669,7174,27,243749.0,11.0,12.0,Rostock,20,170,Bundesliga 2,Streli,Mamba,,Streli Mamba,,,,,,,,,,,,
673,7178,27,257503.0,22.0,28.0,Rostock,20,170,Bundesliga 2,Luis,Klatte,,Luis Klatte,,,,,,,,,,,,
705,7210,29,211900.0,4.0,29.0,Kaiserslautern,2076,832,3. Liga,Alexander,Winkler,,Alexander Winkler,,,,,,,,,,,,
722,7227,29,252540.0,27.0,28.0,Kaiserslautern,2076,832,3. Liga,Anıl,Gözütok,,Anıl Gözütok,,,,,,,,,,,,
729,7234,29,263073.0,38.0,28.0,Kaiserslautern,2076,832,3. Liga,Neal,Gibs,,Neal Gibs,,,,,,,,,,,,
752,7257,31,247245.0,32.0,28.0,1. FC Köln,19,156,Bundesliga,Tomáš,Ostrák,,Tomáš Ostrák,,,,,,,,,,,,
791,7296,33,183712.0,9.0,25.0,1860 München,2076,833,3. Liga,Sascha,Mölders,,Sascha Mölders,,,,,,,,,,,,
792,7297,33,193097.0,6.0,6.0,1860 München,2076,833,3. Liga,Stephan,Salger,,Stephan Salger,,,,,,,,,,,,
800,7305,33,234163.0,23.0,28.0,1860 München,2076,833,3. Liga,Keanu,Staude,,Keanu Staude,,,,,,,,,,,,
811,7316,33,257999.0,12.0,29.0,1860 München,2076,833,3. Liga,György,Székely,,György Székely,,,,,,,,,,,,
815,7320,33,258004.0,21.0,28.0,1860 München,2076,833,3. Liga,Johann,Ngounou Djayo,,Johann Ngounou Djayo,,,,,,,,,,,,
817,7322,33,258839.0,22.0,29.0,1860 München,2076,833,3. Liga,Tim,Linsbichler,,Tim Linsbichler,,,,,,,,,,,,
819,7324,33,51144.0,75.0,29.0,1860 München,2076,833,3. Liga,Lucas,Falcão,Lucas Falcão,Lucas Falcão,,,,,,,,,,,,
843,7348,34,263298.0,39.0,29.0,FC Schalke 04,20,172,Bundesliga 2,Yaroslav,Mikhailov,,Yaroslav Mikhailov,,,,,,,,,,,,
844,7349,34,263597.0,44.0,28.0,FC Schalke 04,20,172,Bundesliga 2,Bleron,Krasniqi,,Bleron Krasniqi,,,,,,,,,,,,
849,7354,36,193886.0,10.0,28.0,VfB Stuttgart,19,158,Bundesliga,Daniel,Didavi,,Daniel Didavi,,,,,,,,,,,,
860,7365,36,239121.0,18.0,28.0,VfB Stuttgart,19,158,Bundesliga,Hamadi,Al Ghaddioui,,Hamadi Al Ghaddioui,,,,,,,,,,,,
862,7367,36,241689.0,30.0,12.0,VfB Stuttgart,19,158,Bundesliga,Roberto,Massimo,,Roberto Massimo,,,,,,,,,,,,
876,7381,36,258330.0,29.0,29.0,VfB Stuttgart,19,158,Bundesliga,Momo,Cissé,,Momo Cissé,,,,,,,,,,,,
906,7411,38,263404.0,17.0,29.0,SV Werder Bremen,20,173,Bundesliga 2,Abdenego,Nankishi,,Abdenego Nankishi,,,,,,,,,,,,
927,7432,44,245461.0,49.0,28.0,Internazionale,31,188,Serie A TIM,Facundo,Colidio,,Facundo Colidio,,,,,,,,,,,,
932,7437,44,244364.0,75.0,29.0,Internazionale,31,188,Serie A TIM,Gabriel,Resende Brazão,Gabriel Brazão,Gabriel Resende Brazão,,,,,,,,,,,,
935,7440,47,41236.0,11.0,29.0,Milan,31,189,Serie A TIM,Zlatan,Ibrahimović,,Zlatan Ibrahimović,,,,,,,,,,,,
991,7496,48,292390.0,8.0,27.0,Napoli,31,190,Serie A TIM,,,,,,,,,,,,,,,,
992,7497,48,278540.0,24.0,29.0,Napoli,31,190,Serie A TIM,Natan,Bernardo de Souza,Natan,Natan Bernardo de Souza,,,,,,,,,,,,
993,7498,50,1179.0,1.0,0.0,Parma,76,421,Resto do Mundo,Gianluigi,Buffon,,Gianluigi Buffon,,,,,,,,,,,,
994,7499,50,137506.0,19.0,28.0,Parma,76,421,Resto do Mundo,Goran,Pandev,,Goran Pandev,,,,,,,,,,,,
996,7501,50,178310.0,2.0,28.0,Parma,76,421,Resto do Mundo,Simone,Iacoponi,,Simone Iacoponi,,,,,,,,,,,,
1045,7550,54,248694.0,86.0,29.0,Torino,31,191,Serie A TIM,Ibrahim,Karamoko,,Ibrahim Karamoko,,,,,,,,,,,,
1046,7551,54,251349.0,30.0,29.0,Torino,31,191,Serie A TIM,Thibo,Baeten,,Thibo Baeten,,,,,,,,,,,,
1050,7555,54,257630.0,60.0,29.0,Torino,31,191,Serie A TIM,Krisztofer,Horváth,,Krisztofer Horváth,,,,,,,,,,,,
1056,7561,55,178628.0,45.0,28.0,Udinese,31,192,Serie A TIM,Fernando,Forestieri,,Fernando Forestieri,,,,,,,,,,,,
1061,7566,55,193062.0,90.0,28.0,Udinese,31,192,Serie A TIM,Marvin,Zeegelaar,,Marvin Zeegelaar,,,,,,,,,,,,
1065,7570,55,201013.0,91.0,28.0,Udinese,31,192,Serie A TIM,Łukasz,Teodorczyk,,Łukasz Teodorczyk,,,,,,,,,,,,
1074,7579,55,245023.0,29.0,29.0,Udinese,31,192,Serie A TIM,Petar,Mićin,,Petar Mićin,,,,,,,,,,,,
1080,7585,55,4539.0,38.0,29.0,Udinese,31,192,Serie A TIM,Matheus Martins,Silva dos Santos,Matheus Martins,Matheus Martins Silva dos Santos,,,,,,,,,,,,
1093,7598,57,229194.0,15.0,28.0,AJ Auxerre,17,132,Ligue 2 BKT,Alec,Georgen,,Alec Georgen,,,,,,,,,,,,
1094,7599,57,231109.0,6.0,28.0,AJ Auxerre,17,132,Ligue 2 BKT,Aly,Ndom,,Aly Ndom,,,,,,,,,,,,
1097,7602,57,240776.0,30.0,28.0,AJ Auxerre,17,132,Ligue 2 BKT,Sonny,Laiton,,Sonny Laiton,,,,,,,,,,,,
1102,7607,57,258470.0,28.0,29.0,AJ Auxerre,17,132,Ligue 2 BKT,Ryan,Ponti,,Ryan Ponti,,,,,,,,,,,,
1106,7611,57,263420.0,18.0,28.0,AJ Auxerre,17,132,Ligue 2 BKT,Mohamed,Ben Fredj,,Mohamed Ben Fredj,,,,,,,,,,,,
1107,7612,57,264083.0,11.0,28.0,AJ Auxerre,17,132,Ligue 2 BKT,Nicolas,Mercier,,Nicolas Mercier,,,,,,,,,,,,
1112,7617,58,111503.0,18.0,28.0,SC Bastia,17,133,Ligue 2 BKT,Chaouki,Ben Saada,,Chaouki Ben Saada,,,,,,,,,,,,
1113,7618,58,169584.0,5.0,28.0,SC Bastia,17,133,Ligue 2 BKT,Gary,Coulibaly,,Gary Coulibaly,,,,,,,,,,,,
1117,7622,58,192923.0,15.0,28.0,SC Bastia,17,133,Ligue 2 BKT,Yohan,Bocognano,,Yohan Bocognano,,,,,,,,,,,,
1118,7623,58,197480.0,19.0,25.0,SC Bastia,17,133,Ligue 2 BKT,Idriss,Saadi,,Idriss Saadi,,,,,,,,,,,,
1121,7626,58,209644.0,16.0,0.0,SC Bastia,17,133,Ligue 2 BKT,Thomas,Vincensini,,Thomas Vincensini,,,,,,,,,,,,
1124,7629,58,244403.0,21.0,28.0,SC Bastia,17,133,Ligue 2 BKT,Adil,Taoui,,Adil Taoui,,,,,,,,,,,,
1129,7634,58,261753.0,29.0,28.0,SC Bastia,17,133,Ligue 2 BKT,Kenny,Nagera,,Kenny Nagera,,,,,,,,,,,,
1130,7635,58,262341.0,32.0,29.0,SC Bastia,17,133,Ligue 2 BKT,Alexandre,Jourda,,Alexandre Jourda,,,,,,,,,,,,
1134,7639,58,262345.0,22.0,28.0,SC Bastia,17,133,Ligue 2 BKT,Samuel,Guibert,,Samuel Guibert,,,,,,,,,,,,
1137,7642,59,134779.0,7.0,28.0,Giron. Bordeaux,16,112,Ligue 1 Uber Eats,Jimmy,Briand,,Jimmy Briand,,,,,,,,,,,,
1156,7661,59,259088.0,3.0,28.0,Giron. Bordeaux,16,112,Ligue 1 Uber Eats,Abdel,Medioub,,Abdel Medioub,,,,,,,,,,,,
1160,7665,59,262709.0,34.0,28.0,Giron. Bordeaux,16,112,Ligue 1 Uber Eats,Malcom,Bokele,,Malcom Bokele,,,,,,,,,,,,
1164,7669,62,212608.0,23.0,7.0,En Avant Guingamp,17,134,Ligue 2 BKT,Jérôme,Mombris,,Jérôme Mombris,,,,,,,,,,,,
1168,7673,62,234972.0,13.0,25.0,En Avant Guingamp,17,134,Ligue 2 BKT,Yannick,Gomis,,Yannick Gomis,,,,,,,,,,,,
1174,7679,62,241817.0,17.0,28.0,En Avant Guingamp,17,134,Ligue 2 BKT,Ervin,Taha,,Ervin Taha,,,,,,,,,,,,
1178,7683,62,247761.0,11.0,28.0,En Avant Guingamp,17,134,Ligue 2 BKT,Louis,Carnot,,Louis Carnot,,,,,,,,,,,,
1180,7685,62,252047.0,3.0,3.0,En Avant Guingamp,17,134,Ligue 2 BKT,Yohan,Bilingi,,Yohan Bilingi,,,,,,,,,,,,
1183,7688,62,262789.0,1.0,28.0,En Avant Guingamp,17,134,Ligue 2 BKT,Hugo,Barbet,,Hugo Barbet,,,,,,,,,,,,
1192,7697,64,167933.0,18.0,13.0,RC Lens,16,113,Ligue 1 Uber Eats,Yannick,Cahuzac,,Yannick Cahuzac,,,,,,,,,,,,
1205,7710,64,244753.0,35.0,28.0,RC Lens,16,113,Ligue 1 Uber Eats,Jules,Keita,,Jules Keita,,,,,,,,,,,,
1216,7721,65,183497.0,40.0,0.0,LOSC Lille,16,114,Ligue 1 Uber Eats,Orestis,Karnezis,,Orestis Karnezis,,,,,,,,,,,,
1217,7722,65,183916.0,26.0,28.0,LOSC Lille,16,114,Ligue 1 Uber Eats,Jérémy,Pied,,Jérémy Pied,,,,,,,,,,,,
1232,7737,65,258722.0,35.0,28.0,LOSC Lille,16,114,Ligue 1 Uber Eats,,,,,,,,,,,,,,,,
1254,7759,66,248766.0,16.0,28.0,Lyon,16,115,Ligue 1 Uber Eats,Malcolm,Barcola,,Malcolm Barcola,,,,,,,,,,,,
1255,7760,66,251439.0,32.0,29.0,Lyon,16,115,Ligue 1 Uber Eats,Titouan,Thomas,,Titouan Thomas,,,,,,,,,,,,
1259,7764,66,259806.0,33.0,29.0,Lyon,16,115,Ligue 1 Uber Eats,Florent,Da Silva,,Florent Da Silva,,,,,,,,,,,,
1265,7770,66,4446.0,47.0,28.0,Lyon,16,115,Ligue 1 Uber Eats,Jefferson,Ruan Pereira dos Santos,Jeffinho,Jefferson Ruan Pereira dos Santos,,,,,,,,,,,,
1267,7772,68,198132.0,1.0,28.0,FC Metz,16,116,Ligue 1 Uber Eats,David,,,,,,,,,,,,,,,
1269,7774,68,201073.0,9.0,24.0,FC Metz,16,116,Ligue 1 Uber Eats,Nicolas,,,,,,,,,,,,,,,
1271,7776,68,210438.0,10.0,18.0,FC Metz,16,116,Ligue 1 Uber Eats,Farid,Boulaya,,Farid Boulaya,,,,,,,,,,,,
1272,7777,68,211099.0,11.0,28.0,FC Metz,16,116,Ligue 1 Uber Eats,Opa,Nguette,,Opa Nguette,,,,,,,,,,,,
1279,7784,68,235548.0,28.0,28.0,FC Metz,16,116,Ligue 1 Uber Eats,Manuel,Cabit,,Manuel Cabit,,,,,,,,,,,,
1296,7801,69,5277.0,35.0,28.0,AS Monaco,16,117,Ligue 1 Uber Eats,Vanderson,de Oliveira Campos,Vanderson,Vanderson de Oliveira Campos,,,,,,,,,,,,
1340,7845,70,256697.0,66.0,28.0,Montpellier HSC,16,118,Ligue 1 Uber Eats,Gabriel,Barès,,Gabriel Barès,,,,,,,,,,,,
1344,7849,70,263016.0,20.0,28.0,Montpellier HSC,16,118,Ligue 1 Uber Eats,Yanis,Guermouche,,Yanis Guermouche,,,,,,,,,,,,
1350,7855,71,201938.0,17.0,28.0,FC Nantes,16,119,Ligue 1 Uber Eats,Anthony,Limbombe,,Anthony Limbombe,,,,,,,,,,,,
1372,7877,71,263442.0,35.0,29.0,FC Nantes,16,119,Ligue 1 Uber Eats,Yannis,M'Bemba,,Yannis M'Bemba,,,,,,,,,,,,
1374,7879,71,4993.0,28.0,28.0,FC Nantes,16,119,Ligue 1 Uber Eats,Adson,Soares,Adson,Adson Soares,,,,,,,,,,,,
1412,7917,73,199574.0,60.0,29.0,PSG,16,121,Ligue 1 Uber Eats,Alexandre,Letellier,,Alexandre Letellier,,,,,,,,,,,,
1463,7968,76,198420.0,8.0,28.0,RC Strasbourg,16,123,Ligue 1 Uber Eats,Majeed,Waris,,Majeed Waris,,,,,,,,,,,,
1482,7987,76,263114.0,33.0,29.0,RC Strasbourg,16,123,Ligue 1 Uber Eats,Marvin,Elimbi,,Marvin Elimbi,,,,,,,,,,,,
1484,7989,77,134820.0,8.0,15.0,Aberdeen,50,251,cinch Prem,Scott,Brown,,Scott Brown,,,,,,,,,,,,
1489,7994,77,184301.0,14.0,24.0,Aberdeen,50,251,cinch Prem,Jay,Emmanuel-Thomas,,Jay Emmanuel-Thomas,,,,,,,,,,,,
1493,7998,77,205232.0,15.0,28.0,Aberdeen,50,251,cinch Prem,Dylan,McGeouch,,Dylan McGeouch,,,,,,,,,,,,
1501,8006,77,238758.0,24.0,28.0,Aberdeen,50,251,cinch Prem,Dean,Campbell,,Dean Campbell,,,,,,,,,,,,
1502,8007,77,241983.0,23.0,28.0,Aberdeen,50,251,cinch Prem,Austin,Samuels,,Austin Samuels,,,,,,,,,,,,
1506,8011,77,259396.0,31.0,29.0,Aberdeen,50,251,cinch Prem,Kieran,Ngwenya,,Kieran Ngwenya,,,,,,,,,,,,
1507,8012,77,259669.0,32.0,29.0,Aberdeen,50,251,cinch Prem,Ryan,Duncan,,Ryan Duncan,,,,,,,,,,,,
1508,8013,77,261694.0,27.0,28.0,Aberdeen,50,251,cinch Prem,Jack,Gurr,,Jack Gurr,,,,,,,,,,,,
1511,8016,78,150724.0,15.0,0.0,Celtic,50,252,cinch Prem,Joe,Hart,,Joe Hart,,,,,,,,,,,,
1539,8044,80,4899.0,1.0,0.0,Caldense,83,520,Brasileirão Série D,Iago Rodrigo,Martins Moura,Iago Rodrigo,Iago Rodrigo Martins Moura,,,,,,,,,,,,
1540,8045,80,4902.0,14.0,29.0,Caldense,83,520,Brasileirão Série D,Gustavo,Moreira Cardoso,Gustavo Moreira,Gustavo Moreira Cardoso,,,,,,,,,,,,
1541,8046,80,5172.0,11.0,27.0,Caldense,83,520,Brasileirão Série D,Vinícius,dos Santos Ribeiro,Vinícius Ribeiro,Vinícius dos Santos Ribeiro,,,,,,,,,,,,
1542,8047,80,50795.0,35.0,29.0,Caldense,83,520,Brasileirão Série D,Guilherme Adão,Rocha Nascimento,Guilherme Adão,Guilherme Adão Rocha Nascimento,,,,,,,,,,,,
1543,8048,80,51356.0,22.0,29.0,Caldense,83,520,Brasileirão Série D,Bruno Henrique,Oliveira Bento,Bruno Henrique,Bruno Henrique Oliveira Bento,,,,,,,,,,,,
1544,8049,80,51826.0,7.0,23.0,Caldense,83,520,Brasileirão Série D,Artur Aliton,de Lima Melo,Artur,Artur Aliton de Lima Melo,,,,,,,,,,,,
1545,8050,80,52138.0,5.0,10.0,Caldense,83,520,Brasileirão Série D,Franklin,Cardoso Soares,Franklin,Franklin Cardoso Soares,,,,,,,,,,,,
1546,8051,80,52139.0,10.0,15.0,Caldense,83,520,Brasileirão Série D,Guilherme,Borges Neves,Guilherme Borges,Guilherme Borges Neves,,,,,,,,,,,,
1547,8052,80,52147.0,29.0,29.0,Caldense,83,520,Brasileirão Série D,Felipe,Garrido de Barros,Felipe Garrido,Felipe Garrido de Barros,,,,,,,,,,,,
1548,8053,80,52149.0,9.0,25.0,Caldense,83,520,Brasileirão Série D,Gabriel Braga,dos Santos Gomes,Gabriel Braga,Gabriel Braga dos Santos Gomes,,,,,,,,,,,,
1549,8054,80,56988.0,6.0,28.0,Caldense,83,520,Brasileirão Série D,Geisandro José,Pereira,Geisandro,Geisandro José Pereira,,,,,,,,,,,,
1550,8055,80,56990.0,2.0,3.0,Caldense,83,520,Brasileirão Série D,Filipi,de Sousa Barros,Filipi Sousa,Filipi de Sousa Barros,,,,,,,,,,,,
1551,8056,80,57186.0,24.0,29.0,Caldense,83,520,Brasileirão Série D,João Victor,Cardoso Renato,João Victor,João Victor Cardoso Renato,,,,,,,,,,,,
1552,8057,80,57225.0,31.0,29.0,Caldense,83,520,Brasileirão Série D,Hugo Guilherme,Rodrigues Martins,Hugo,Hugo Guilherme Rodrigues Martins,,,,,,,,,,,,
1553,8058,80,57227.0,27.0,29.0,Caldense,83,520,Brasileirão Série D,João Vítor,da Silva Goes,João Goes,João Vítor da Silva Goes,,,,,,,,,,,,
1554,8059,80,57228.0,32.0,29.0,Caldense,83,520,Brasileirão Série D,Ryan Henrique,Franco Soares,Ryan,Ryan Henrique Franco Soares,,,,,,,,,,,,
1555,8060,80,57233.0,25.0,29.0,Caldense,83,520,Brasileirão Série D,Luís Gabriel,Moreira de Souza Euphrasio,Luísinho,Luís Gabriel Moreira de Souza Euphrasio,,,,,,,,,,,,
1556,8061,80,164353.0,21.0,29.0,Caldense,83,520,Brasileirão Série D,Nicholas Denzel,García Gomes,Nicholas Denzel,Nicholas Denzel García Gomes,,,,,,,,,,,,
1557,8062,80,187324.0,3.0,7.0,Caldense,83,520,Brasileirão Série D,Mateus Muller,de Souza Lopes,Mateus Muller,Mateus Muller de Souza Lopes,,,,,,,,,,,,
1558,8063,80,188371.0,20.0,29.0,Caldense,83,520,Brasileirão Série D,Henrique de Figueiredo,Torres Caivano,Henrique Caivano,Henrique de Figueiredo Torres Caivano,,,,,,,,,,,,
1559,8064,80,189852.0,13.0,4.0,Caldense,83,520,Brasileirão Série D,Guilherme Augusto,Vítor Martins,Guilherme Martins,Guilherme Augusto Vítor Martins,,,,,,,,,,,,
1560,8065,80,250992.0,30.0,29.0,Caldense,83,520,Brasileirão Série D,Pedro Henrique,Ferreira,Ferreira,Pedro Henrique Ferreira,,,,,,,,,,,,
1561,8066,80,251144.0,34.0,29.0,Caldense,83,520,Brasileirão Série D,Kléber,Violante Silva,Kléber,Kléber Violante Silva,,,,,,,,,,,,
1562,8067,80,263141.0,28.0,29.0,Caldense,83,520,Brasileirão Série D,Pedro Lucas,Fonseca Pereira,Pedro Lucas,Pedro Lucas Fonseca Pereira,,,,,,,,,,,,
1563,8068,80,266193.0,17.0,28.0,Caldense,83,520,Brasileirão Série D,João Vítor,de Carvalho,João Vítor,João Vítor de Carvalho,,,,,,,,,,,,
1565,8070,80,269946.0,15.0,28.0,Caldense,83,520,Brasileirão Série D,Steylon Kaique,Cavalcante dos Santos,Steylon,Steylon Kaique Cavalcante dos Santos,,,,,,,,,,,,
1566,8071,80,271050.0,18.0,28.0,Caldense,83,520,Brasileirão Série D,Matheus,Galdino dos Santos,Matheus Galdino,Matheus Galdino dos Santos,,,,,,,,,,,,
1567,8072,80,273725.0,16.0,28.0,Caldense,83,520,Brasileirão Série D,Nathan Gabriel,Silveira,Nathan Gabriel,Nathan Gabriel Silveira,,,,,,,,,,,,
1568,8073,80,278375.0,26.0,29.0,Caldense,83,520,Brasileirão Série D,João Vítor,Marengone Altizani,João Altizani,João Vítor Marengone Altizani,,,,,,,,,,,,
1569,8074,80,278580.0,8.0,13.0,Caldense,83,520,Brasileirão Série D,David Rafael,Lazari Zana,David Lazari,David Rafael Lazari Zana,,,,,,,,,,,,
1570,8075,80,292353.0,19.0,28.0,Caldense,83,520,Brasileirão Série D,André Junior,Santana Martinez,André Martinez,André Junior Santana Martinez,,,,,,,,,,,,
1571,8076,80,292355.0,33.0,29.0,Caldense,83,520,Brasileirão Série D,Gustavo Alves,Marcondes Pereira,Gustavo Alves,Gustavo Alves Marcondes Pereira,,,,,,,,,,,,
1576,8081,81,201085.0,23.0,28.0,Hibernian,50,253,cinch Prem,Scott,Allan,,Scott Allan,,,,,,,,,,,,
1587,8092,81,229193.0,31.0,29.0,Hibernian,50,253,cinch Prem,David,Mitchell,,David Mitchell,,,,,,,,,,,,
1594,8099,81,246680.0,26.0,29.0,Hibernian,50,253,cinch Prem,Sean,Mackie,,Sean Mackie,,,,,,,,,,,,
1596,8101,81,256264.0,19.0,28.0,Hibernian,50,253,cinch Prem,Jamie,Gullan,,Jamie Gullan,,,,,,,,,,,,
1598,8103,81,260260.0,49.0,29.0,Hibernian,50,253,cinch Prem,Josh,O'Connor,,Josh O'Connor,,,,,,,,,,,,
1599,8104,81,262103.0,17.0,28.0,Hibernian,50,253,cinch Prem,Daniel,MacKay,,Daniel MacKay,,,,,,,,,,,,
1602,8107,83,195057.0,12.0,28.0,Motherwell,50,254,cinch Prem,Scott,Fox,,Scott Fox,,,,,,,,,,,,
1603,8108,83,200980.0,11.0,28.0,Motherwell,50,254,cinch Prem,Steven,Lawless,,Steven Lawless,,,,,,,,,,,,
1605,8110,83,206004.0,14.0,28.0,Motherwell,50,254,cinch Prem,Juhani,Ojala,,Juhani Ojala,,,,,,,,,,,,
1611,8116,83,213687.0,23.0,28.0,Motherwell,50,254,cinch Prem,Liam,Grimshaw,,Liam Grimshaw,,,,,,,,,,,,
1616,8121,83,227498.0,7.0,23.0,Motherwell,50,254,cinch Prem,Kaiyne,Woolery,,Kaiyne Woolery,,,,,,,,,,,,
1618,8123,83,230032.0,17.0,28.0,Motherwell,50,254,cinch Prem,Justin,Amaluzor,,Justin Amaluzor,,,,,,,,,,,,
